day_of_week,complaint_description,total_requests
3,AE Street Light Issue - No Address,118
3,Neighborhood Home Programs,118
3,Zz_ARR - Storm Debris Collection,115
3,AFD - Fireworks Complaint,110
3,SBO - Street and Bridge Miscellaneous,106
3,ATD - Booting Complaint,105
3,SBO - Pavement Failure,103
3,WPD - Drainage Pond Maintenance,103
3,ATD - School Zone Beacon - Maintenance,101
3,311 CRIS - City Vehicle Report,100
3,SBO - New Sidewalk/Curb Ramp/Route,98
3,ATD - Bicycle &amp; Pedestrian Issues,97
3,Flooding Current (Non-Emergency),96
3,Code Compliance - Short Term Rental (STR) Appointment,94
3,WPD - Standing Water,92
3,Guardrail New/Repair,91
3,ACD - Case Updates/Code Connect Messages,90
3,Water Theft Report,88
3,Storm Drain Pipe Services,88
3,Construction/Permitting- ROW,87
3,WPD - Storm Drain Services,87
3,WPD - Flooding Current,86
3,Drainage - Miscellaneous,84
3,Public Health - Environmental Services - County,82
3,Zz_Loud Commercial Music,80
3,Animal Protection - Vicious Dog Complaint,77
3,WPD - Lost Item in Storm Drainage System,74
3,Austin Code - Construction Rest Break Complaint,72
3,Roadway Spillage,72
3,School Issues - Crossing Guards,68
3,AFD - Wildfire Concern / Presentation,67
3,Loose Animal (not dog),66
3,ATD - School Zone Sign Maintenance,64
3,Parking Ticket Complaint,63
3,Bridge Repair,62
3,Animal Protection - Loose Animal Not Dog,59
3,Animal Protection - Coyote Complaints,56
3,ATD - View Obstruction and Fencing at Intersection,54
3,Park Maintenance - Building A/C & Heating Issues,54
3,Park Maintenance - Building Electrical Issues,52
3,Barricade Request,50
3,HPD - Neighborhood Home Programs,49
3,APH - Community Connections Coronavirus,48
3,ARR - Pet Search,47
3,AW - Water Theft Report,47
3,Guardrail Repair,46
3,Park Maintenance - Cemeteries,45
3,ZZ - Tree Issue ROW,45
3,WPD - Ditch/Driveway Pipe Services,44
3,WPD - Flooding Past,42
3,SBO - Street Resurfacing,42
3,Corridor Program Office - Corridor Feedback,40
3,PARD - Aquatic Inquiries/Issues,38
3,AE - Electric Vehicle Station Issues,37
3,SBO - Utility Cut Repair,36
3,ATD - Pay-by-Phone App,36
3,Animal Protection - Animal In Vehicle,36
3,PARD - Aquatic Maintenance,36
3,SBO - Alley & Unpaved Street Maintenance,35
3,WPD - Watershed Grow Zone Issues,35
3,Short Term Rental Complaint SR,35
3,ATD - Special Event,34
3,ARR - Household Hazardous Waste,33
3,Residential Parking Permit Enforcement,33
3,WPD - Lady Bird Lake Debris Issues,32
3,Flood Report,31
3,Animal Protection - Dangerous Dog Complaint,30
3,Vendor Permit - ROW,29
3,PWD - Mowing Medians,28
3,PW - School Issues - Crossing Guards,28
3,Ordinance Universal Recycling,28
3,APH - Environmental Health Services - County,27
3,WPD - Erosion,27
3,DSD - Short Term Rental Complaint,27
3,Basic Needs - Appointment,27
3,ARR - On Call Brush,27
3,Austin Code - Construction Ordinance SR,25
3,SBO - Curb/Gutter Repair,24
3,ATD - Traffic Signal - New,24
3,PARD - Commercial Use of Parkland,21
3,Road Sanding Request,21
3,PW - School Zone - New/Review/Changes,21
3,ACD - Billboard Complaint,20
3,ATD - Traffic Signal - Modification,20
3,Animal Protection - Dog Restraint Issues,20
3,ATD - Construction Concerns in Right of Way,20
3,AFD - Wildfire Education,19
3,Parking Permit- ROW,18
3,EV PIE Station Issues,18
3,Animal Protection - Animal Trapped in Storm Drain,18
3,Animal Roadside Sales,17
3,SBO - Guardrail New/Repair,16
3,Fence/Wall Repair,16
3,ZZ Creek &amp; Pond Vegetation Control,15
3,Town Lake Debris Issues,15
3,ERM - Harmful Algae,14
3,Ordinance Single-Use Carryout Bags,14
3,SBO - Bridge Repair,13
3,Dangerous Animal - Except Dogs,13
3,ATD - Bicycle & Pedestrian Issues,13
3,ACD - Construction Rest Break Complaint,12
3,PARD - Aquatic Program Inquiries,12
3,Zz_Traffic Engineering - General,12
3,ARR Dumpster,11
3,APH - Health Equity Line,11
3,Emergency Road Closure Report,11
3,AE - Key Accounts,10
3,SBO - Roadway Spillage,10
3,CPIO - Community Voices,10
3,APD - Non Emergency Hands Free Violation,9
3,ZZ Park Maintenance - Pool Issues,9
3,EV PIP Residential Rebate,9
3,Obstruction - Urban Forestry,8
3,Guardrail - New,8
3,CPIO - Community Engagement Project Feedback,7
3,Newspaper Rack- ROW,6
3,ZZ Mowing City Parks,6
3,Filming Permit - ROW,6
3,Construction Ordinance SR,5
3,HD - Neighborhood Home Programs,5
3,DSD - Billboard Complaint,5
3,Flooding - Storms After Business Hours,4
3,ZZ - AFD - Fireworks Complaint,4
3,Park Maintenance - Building A/C &amp; Heating Issues,4
3,Animal Protection - Animal Roadside Sales,4
3,ZZ Mowing Medians,4
3,ZZ Creek & Pond Vegetation Control,4
3,Flooding - Storms During Business Hours,4
3,LeadSmart Program,4
3,DSD - Case Updates/Code Connect Messages,4
3,ZZ CRM - Configuration Test Waheed,4
3,Basic Needs - Information Referral,3
3,Valet Permit - ROW,3
3,Zz_ATD - Concerns in Right of Way,3
3,ZZ Community Connections - Coronavirus,2
3,ACD - Private Hauler License Violation,2
3,Corridor Program - Corridor Feedback,2
3,ZZZ ARR Missed Recycling,2
3,Zz_ATD - Construction Items in Right of Way,1
3,DSD - Construction Rest Break Complaint,1
3,Traffic Engineering - Jurisdiction Issue,1
3,ZZ ARR - Storm Debris Collection,1
3,zz - Coyote Compliants,1
3,HSEM Heat Advisory,1
3,Fence Repair - MOPAC,1
3,Zzz_Speed Limit - Changes/Signs,1
3,Utility Coordination - ROW,1
3,HSEM - Heat Advisory,1
3,PW - Street & Bridge General,1
3,ATD - Traffic Engineering - General,1
3,DSD - Private Hauler License Violation,1
4,Austin Code - Request Code Officer,38083
4,Traffic Signal - Maintenance,15510
4,Loose Dog,12609
4,ARR Missed Recycling,9498
4,Animal Control - Assistance Request,9297
4,Street Light Issue- Address,8004
4,Injured / Sick Animal,7450
4,ARR Dead Animal Collection,7424
4,ARR - Storm Debris Collection,6473
4,ARR Missed Yard Trimmings/Compost,6457
4,ARR - Garbage,6217
4,Park Maintenance - Grounds,5902
4,ATD - Parking Violation Enforcement,5228
4,Pothole Repair,5018
4,ARR - Compost,4794
4,ATD - Shared Micromobility,4276
4,Tree Issue ROW,4273
4,Debris in Street,3619
4,APD - Vehicle Abatement Report,3226
4,ARR - Recycling,3202
4,Code Compliance,3201
4,APD - Non Emergency Collision,2977
4,ARR Missed Yard Trimmings /Organics,2724
4,Traffic Signal - Dig Tess Request,2661
4,ACD - Request Code Officer,2644
4,Graffiti Abatement,2634
4,Lane/Road Closure Notification,2530
4,Animal - Proper Care,2436
4,Water Waste Report,2403
4,Sign - Traffic Sign Maintenance,2387
4,Obstruction in ROW,2259
4,APD - Non Emergency Noise/Alarm,2207
4,Public Health - Graffiti Abatement,2200
4,Wildlife Exposure,2131
4,DSD - Follow-Up,2062
4,Sign - New,2050
4,Sidewalk Repair,2001
4,Parking Violation Enforcement,1952
4,Found Animal - Pick Up,1878
4,Animal Bite,1858
4,Parking Machine Issue,1856
4,Shared Micromobility,1840
4,Austin Code - Short Term Rental Complaint SR,1817
4,311 CC - Other,1817
4,AE Street Light Issue - Address,1788
4,ARR Brush and Bulk,1698
4,ARR - Dead Animal Collection,1656
4,Found Animal Report - Keep,1628
4,Loud Commercial Music,1573
4,Pavement Failure,1517
4,Concerns in the ROW,1502
4,Traffic Signal - New/Change,1301
4,ATD - Traffic Sign Maintenance,1287
4,Channels/Creeks/Drainage Easement,1259
4,AW - Water Conservation Violation,1256
4,Sign - Traffic Sign Emergency,1201
4,ATD - Concerns in Right of Way,1097
4,Animal Protection - Loose Dog,1085
4,Public Health - Environmental Services - City,1072
4,ATD - Lane/Road Closure Notification,1013
4,Dockless Mobility,977
4,Animal Services - Contact Request,961
4,Austin Code - Signs/Billboards,937
4,Traffic Engineering - General,928
4,Loose Animal Not Dog,911
4,Pet Resource Center - Assistance Request,907
4,ARR Street Sweeping,906
4,ARR - General,903
4,Road Markings/Striping - Maintenance,902
4,Tree Issue ROW/Maintenance (PW),861
4,ATD - Parking Sign Maintenance,854
4,Tree Issue ROW/Emergency (PW),847
4,View Obstruction at Intersection,830
4,Dangerous/Vicious Dog Investigation,813
4,AW - Water Waste Report,810
4,Creek & Pond Vegetation Control,807
4,Austin Code - Coronavirus,776
4,School Zone Flasher - Timing/Maintenance,756
4,Sign - Street Name,755
4,APH - Graffiti Abatement - Public Property,737
4,Animal Protection - Injured/Sick Animal,733
4,DSD - Request Code Officer,700
4,Bicycle Issues,699
4,Community Connections - Coronavirus,690
4,WPD - Channels/Creek/Drainage Issues,676
4,Loud Music,660
4,Alley & Unpaved Street Maintenance,651
4,Construction Items in ROW,625
4,Coyote Complaints,619
4,DSD - Environmental Complaint,612
4,Park Maintenance - Grounds Plumbing Issues,593
4,Mowing Medians,573
4,Sign - Parking Sign Maintenance,573
4,Aquatics Hotline Inquiry,552
4,ARR - Bulk,545
4,ATD - Construction Items in Right of Way,527
4,Animal Protection - Assistance Request,516
4,Traffic Calming,511
4,Road Markings/Striping - New,509
4,Sidewalk/Curb Ramp/Route - NEW,503
4,Flooding  Current (Non-Emergency),494
4,Animal Protection - Found Animal Assistance,485
4,Park Maintenance - Grounds Electrical Issues,471
4,Animal In Vehicle,450
4,SBO - Pothole Repair,445
4,ATD - Traffic Signal - Maintenance,441
4,Street Lights New,421
4,Construction items in ROW,410
4,ARR - Brush,362
4,Mowing City Parks,362
4,Park Maintenance - Pool Issues,361
4,ARR - On Call Bulk,358
4,PWD - Tree Issue Right of Way,349
4,Street Light Issue- Multiple poles/multiple streets,340
4,Lost Item in Storm Drainage System,340
4,ATD - Traffic Sign New,339
4,ARR - Street Sweeping,331
4,ATD - Speed Management,327
4,SBO - Debris in Street,305
4,Tree Issue ROW/Maintenance (PARD),302
4,APD - Vehicle Abatement Callback Request,299
4,Curb/Gutter Repair,299
4,ATD - Road Markings/Striping - Maintenance,297
4,Flooding - Past,294
4,ATD - Dig Tess Request,294
4,Standing Water,291
4,Street Resurfacing,284
4,Animal Protection - Animal Proper Care,276
4,APH - Environmental Health Services - City,264
4,DSD - Outdoor Commercial Venue Music Complaint,239
4,SBO - Obstruction in Right of Way,233
4,ARR - Spillage Trash/Fluids,223
4,Pet Resource Center - Found Pet Report,222
4,ATD - Traffic Signal Maintenance,217
4,Speed Management,216
4,Animal Protection - Animal Bite,215
4,ATD - Street Name Sign Maintenance,206
4,SBO - Sidewalk Repair,202
4,School Zone - New/Review/Changes,185
4,Animal Trapped in Storm Drain,184
4,Park Maintenance - Building Plumbing Issues,182
4,ATD - Parking Machine Issue,171
4,Construction Items- ROW,171
4,Austin Code - Short Term Rental (STR) Appointment,168
4,Code Compliance - Signs/Billboards,164
4,TARA - Telecommunication Complaint,159
4,Tree Issue ROW/Emergency (PARD),157
4,ARR - Special Services,155
4,ATD - Traffic Sign Emergency,153
4,Bat Complaint,144
4,Animal Protection - Wildlife Exposure,143
4,ATD - Traffic Signal - New/Modification,141
4,Speed Limit - Changes/Signs,141
4,AE Street Light Issue - No Address,129
4,ATD - Road Markings/Striping - New,129
4,Ditch/Driveway Pipe Services,129
4,ACD - Short Term Rental Complaint,123
4,Neighborhood Home Programs,121
4,ATD - School Zone Beacon - Maintenance,118
4,Street Resurfacing Inquiry,118
4,Sign - School Zone Sign Maintenance,116
4,Park Maintenance - Building Issues,115
4,WPD - Drainage Pond Maintenance,115
4,ZZ AFD - Fireworks Complaint,106
4,Construction/Permitting- ROW,105
4,Guardrail New/Repair,102
4,SBO - Pavement Failure,101
4,Zz_ARR - Storm Debris Collection,101
4,ARR - Property Damage Report,100
4,ATD - Booting Complaint,100
4,SBO - New Sidewalk/Curb Ramp/Route,97
4,Flooding Current (Non-Emergency),95
4,311 CRIS - City Vehicle Report,95
4,WPD - Standing Water,93
4,WPD - Storm Drain Services,93
4,Animal Protection - Coyote Complaints,92
4,Animal Protection - Loose Animal Not Dog,91
4,SBO - Street and Bridge Miscellaneous,88
4,School Issues - Crossing Guards,87
4,Animal Protection - Vicious Dog Complaint,82
4,Water Theft Report,81
4,ATD - View Obstruction and Fencing at Intersection,80
4,Roadway Spillage,79
4,Storm Drain Pipe Services,78
4,Parking Ticket Complaint,78
4,Zz_Loud Commercial Music,77
4,WPD - Lost Item in Storm Drainage System,75
4,Public Health - Environmental Services - County,74
4,Bridge Repair,74
4,ATD - Bicycle &amp; Pedestrian Issues,69
4,Guardrail Repair,66
4,Drainage - Miscellaneous,64
4,WPD - Flooding Current,63
4,Austin Code - Construction Rest Break Complaint,61
4,ZZ - Tree Issue ROW,59
4,ACD - Case Updates/Code Connect Messages,58
4,Code Compliance - Short Term Rental (STR) Appointment,56
4,ATD - School Zone Sign Maintenance,54
4,Animal Protection - Dangerous Dog Complaint,53
4,AW - Water Theft Report,52
4,Loose Animal (not dog),50
4,AE - Electric Vehicle Station Issues,48
4,Park Maintenance - Building Electrical Issues,46
4,APH - Community Connections Coronavirus,45
4,SBO - Street Resurfacing,45
4,ARR - Pet Search,41
4,AFD - Wildfire Concern / Presentation,41
4,WPD - Ditch/Driveway Pipe Services,39
4,SBO - Utility Cut Repair,39
4,PARD - Aquatic Maintenance,38
4,ATD - Pay-by-Phone App,37
4,DSD - Short Term Rental Complaint,37
4,Park Maintenance - Building A/C & Heating Issues,37
4,SBO - Alley & Unpaved Street Maintenance,35
4,HPD - Neighborhood Home Programs,35
4,ATD - Special Event,34
4,PWD - Mowing Medians,33
4,ATD - Traffic Signal - New,31
4,ARR - On Call Brush,31
4,WPD - Flooding Past,31
4,ATD - Traffic Signal - Modification,31
4,ARR - Household Hazardous Waste,31
4,Park Maintenance - Cemeteries,30
4,Residential Parking Permit Enforcement,30
4,Corridor Program Office - Corridor Feedback,29
4,Animal Protection - Animal In Vehicle,29
4,Barricade Request,29
4,AE - Key Accounts,28
4,Basic Needs - Appointment,28
4,Vendor Permit - ROW,28
4,PW - School Issues - Crossing Guards,27
4,WPD - Watershed Grow Zone Issues,26
4,Animal Roadside Sales,25
4,ATD - Construction Concerns in Right of Way,25
4,Parking Permit- ROW,24
4,Animal Protection - Dog Restraint Issues,24
4,SBO - Curb/Gutter Repair,24
4,WPD - Lady Bird Lake Debris Issues,23
4,Austin Code - Construction Ordinance SR,23
4,PARD - Aquatic Inquiries/Issues,21
4,PW - School Zone - New/Review/Changes,21
4,EV PIE Station Issues,21
4,Ordinance Universal Recycling,21
4,SBO - Guardrail New/Repair,19
4,Short Term Rental Complaint SR,18
4,Emergency Road Closure Report,17
4,WPD - Erosion,16
4,APH - Environmental Health Services - County,16
4,Town Lake Debris Issues,16
4,ZZ Park Maintenance - Pool Issues,15
4,Ordinance Single-Use Carryout Bags,15
4,ZZ ATD - Parking Machine Issue,14
4,AFD - Wildfire Education,14
4,Zz_Traffic Engineering - General,13
4,Flood Report,13
4,ERM - Harmful Algae,12
4,Dangerous Animal - Except Dogs,12
4,PARD - Commercial Use of Parkland,11
4,CPIO - Community Voices,11
4,APH - Health Equity Line,11
4,ZZ Creek &amp; Pond Vegetation Control,10
4,Fence/Wall Repair,10
4,SBO - Bridge Repair,10
4,ACD - Billboard Complaint,10
4,ACD - Construction Rest Break Complaint,9
4,ZZ Mowing City Parks,9
4,Construction Ordinance SR,8
4,EV PIP Residential Rebate,8
4,LeadSmart Program,8
4,Filming Permit - ROW,8
4,CPIO - Community Engagement Project Feedback,7
4,Newspaper Rack- ROW,7
4,ARR Dumpster,7
4,SBO - Roadway Spillage,7
4,ATD - Bicycle & Pedestrian Issues,7
4,APD - Non Emergency Hands Free Violation,7
4,Zz_ATD - Concerns in Right of Way,6
4,ZZ CRM - Configuration Test Waheed,5
4,Animal Protection - Animal Trapped in Storm Drain,5
4,DSD - Case Updates/Code Connect Messages,5
4,Obstruction - Urban Forestry,5
4,Corridor Program - Corridor Feedback,5
4,Guardrail - New,4
4,ZZ Creek & Pond Vegetation Control,4
4,Valet Permit - ROW,3
4,ZZZ ARR Brush and Bulk,3
4,Road Sanding Request,3
4,HD - Neighborhood Home Programs,2
4,ZZZ ARR Missed Recycling,2
4,ZZ ARR - Storm Debris Collection,2
4,HSEM - Heat Advisory,2
4,ZZ Mowing Medians,2
4,ZZ Corridor Program - Corridor Feedback,2
4,Austin Code - Woodridge Apt,2
4,PW - Street & Bridge General,1
4,Park Maintenance - Building A/C &amp; Heating Issues,1
4,ZZZ - Storm Drain Pipe Services,1
4,Flooding - Storms During Business Hours,1
4,ACD - Coronavirus,1
4,ZZ ARR - On Call Brush,1
4,Animal Protection - Animal Roadside Sales,1
4,ZZ CRM - Configuration Test Francois,1
4,Dead Bird,1
4,DSD - Private Hauler License Violation,1
4,Fence Repair - MOPAC,1
4,ACD - Private Hauler License Violation,1
4,Emergency Vehicle Preemption Device,1
4,DSD - Construction Rest Break Complaint,1
4,PARD - Aquatic Program Inquiries,1
5,Austin Code - Request Code Officer,35967
5,Traffic Signal - Maintenance,15629
5,Loose Dog,12415
5,ARR Missed Recycling,9764
5,Animal Control - Assistance Request,8798
5,Street Light Issue- Address,7401
5,Injured / Sick Animal,7313
5,ARR Dead Animal Collection,7136
5,ARR Missed Yard Trimmings/Compost,6820
5,ARR - Storm Debris Collection,5885
5,ARR - Garbage,5833
5,Park Maintenance - Grounds,5550
5,ATD - Parking Violation Enforcement,5082
5,Pothole Repair,5033
5,ARR - Compost,4438
5,ATD - Shared Micromobility,3923
5,Tree Issue ROW,3887
5,Debris in Street,3351
5,Code Compliance,3239
5,ARR - Recycling,3169
5,APD - Vehicle Abatement Report,3103
5,APD - Non Emergency Collision,3022
5,ARR Missed Yard Trimmings /Organics,2773
5,ARR Brush and Bulk,2731
5,Traffic Signal - Dig Tess Request,2593
5,Sign - Traffic Sign Maintenance,2569
5,Animal - Proper Care,2538
5,ACD - Request Code Officer,2523
5,APD - Non Emergency Noise/Alarm,2388
5,Water Waste Report,2379
5,Loud Commercial Music,2334
5,Lane/Road Closure Notification,2331
5,Graffiti Abatement,2327
5,Austin Code - Short Term Rental Complaint SR,2324
5,Obstruction in ROW,2232
5,Public Health - Graffiti Abatement,2200
5,Parking Machine Issue,2149
5,Sign - New,2055
5,Parking Violation Enforcement,2050
5,Wildlife Exposure,2047
5,Sidewalk Repair,2011
5,311 CC - Other,1869
5,Found Animal - Pick Up,1854
5,Animal Bite,1836
5,Shared Micromobility,1761
5,AE Street Light Issue - Address,1719
5,DSD - Follow-Up,1585
5,Found Animal Report - Keep,1578
5,Concerns in the ROW,1477
5,ARR - Dead Animal Collection,1455
5,Pavement Failure,1416
5,Sign - Traffic Sign Emergency,1277
5,Traffic Signal - New/Change,1255
5,ATD - Traffic Sign Maintenance,1213
5,ATD - Concerns in Right of Way,1170
5,AW - Water Conservation Violation,1147
5,Animal Protection - Loose Dog,1121
5,Channels/Creeks/Drainage Easement,1090
5,Dockless Mobility,1039
5,Public Health - Environmental Services - City,1035
5,ARR - General,1025
5,Animal Services - Contact Request,924
5,Traffic Engineering - General,903
5,View Obstruction at Intersection,873
5,Pet Resource Center - Assistance Request,870
5,ATD - Lane/Road Closure Notification,866
5,Loose Animal Not Dog,850
5,Tree Issue ROW/Maintenance (PW),841
5,Austin Code - Signs/Billboards,840
5,Road Markings/Striping - Maintenance,840
5,ARR Street Sweeping,837
5,Dangerous/Vicious Dog Investigation,821
5,AW - Water Waste Report,810
5,Loud Music,795
5,ATD - Parking Sign Maintenance,780
5,Austin Code - Coronavirus,776
5,APH - Graffiti Abatement - Public Property,764
5,ARR - Bulk,728
5,Creek & Pond Vegetation Control,723
5,Bicycle Issues,695
5,DSD - Request Code Officer,688
5,School Zone Flasher - Timing/Maintenance,673
5,Animal Protection - Injured/Sick Animal,655
5,Tree Issue ROW/Emergency (PW),648
5,Community Connections - Coronavirus,636
5,Sign - Street Name,620
5,WPD - Channels/Creek/Drainage Issues,615
5,Coyote Complaints,602
5,Alley & Unpaved Street Maintenance,590
5,DSD - Environmental Complaint,579
5,Park Maintenance - Grounds Plumbing Issues,569
5,Sign - Parking Sign Maintenance,568
5,ATD - Construction Items in Right of Way,542
5,Animal Protection - Assistance Request,534
5,Mowing Medians,532
5,Construction Items in ROW,522
5,Aquatics Hotline Inquiry,497
5,Animal Protection - Found Animal Assistance,490
5,DSD - Outdoor Commercial Venue Music Complaint,482
5,Traffic Calming,478
5,Park Maintenance - Pool Issues,475
5,SBO - Pothole Repair,450
5,Road Markings/Striping - New,444
5,PWD - Tree Issue Right of Way,425
5,Park Maintenance - Grounds Electrical Issues,421
5,Sidewalk/Curb Ramp/Route - NEW,420
5,Animal In Vehicle,412
5,ATD - Traffic Signal - Maintenance,411
5,Street Light Issue- Multiple poles/multiple streets,410
5,ARR - Brush,401
5,Street Lights New,400
5,Construction items in ROW,388
5,Flooding  Current (Non-Emergency),372
5,ATD - Traffic Sign New,361
5,Lost Item in Storm Drainage System,361
5,ATD - Speed Management,323
5,Curb/Gutter Repair,309
5,Flooding - Past,306
5,ARR - Street Sweeping,303
5,ARR - On Call Bulk,296
5,Mowing City Parks,295
5,ATD - Dig Tess Request,292
5,Tree Issue ROW/Maintenance (PARD),291
5,ATD - Road Markings/Striping - Maintenance,286
5,APH - Environmental Health Services - City,270
5,APD - Vehicle Abatement Callback Request,268
5,Animal Protection - Animal Proper Care,259
5,Standing Water,258
5,Street Resurfacing,244
5,SBO - Debris in Street,240
5,SBO - Obstruction in Right of Way,226
5,ARR - Spillage Trash/Fluids,217
5,Park Maintenance - Building Plumbing Issues,206
5,Animal Trapped in Storm Drain,206
5,Speed Management,202
5,Tree Issue ROW/Emergency (PARD),200
5,Animal Protection - Animal Bite,200
5,ATD - Street Name Sign Maintenance,196
5,ATD - Traffic Signal Maintenance,195
5,Pet Resource Center - Found Pet Report,189
5,SBO - Sidewalk Repair,168
5,ATD - Traffic Sign Emergency,166
5,School Zone - New/Review/Changes,166
5,AE Street Light Issue - No Address,165
5,ARR - Special Services,165
5,ATD - Parking Machine Issue,159
5,Animal Protection - Wildlife Exposure,159
5,Bat Complaint,159
5,ACD - Short Term Rental Complaint,158
5,Zz_Loud Commercial Music,155
5,Zz_ARR - Storm Debris Collection,155
5,Austin Code - Short Term Rental (STR) Appointment,154
5,Code Compliance - Signs/Billboards,148
5,Construction Items- ROW,141
5,TARA - Telecommunication Complaint,139
5,Speed Limit - Changes/Signs,138
5,ATD - Road Markings/Striping - New,133
5,ATD - Traffic Signal - New/Modification,130
5,ATD - Booting Complaint,118
5,SBO - Pavement Failure,117
5,Sign - School Zone Sign Maintenance,112
5,Flooding Current (Non-Emergency),111
5,Street Resurfacing Inquiry,109
5,WPD - Flooding Current,107
5,Park Maintenance - Building Issues,106
5,Guardrail New/Repair,105
5,WPD - Storm Drain Services,104
5,WPD - Drainage Pond Maintenance,103
5,ARR - Property Damage Report,102
5,ATD - School Zone Beacon - Maintenance,101
5,Ditch/Driveway Pipe Services,100
5,WPD - Standing Water,97
5,Water Theft Report,96
5,Animal Protection - Loose Animal Not Dog,95
5,Storm Drain Pipe Services,94
5,Construction/Permitting- ROW,90
5,Neighborhood Home Programs,87
5,School Issues - Crossing Guards,87
5,ATD - Bicycle &amp; Pedestrian Issues,80
5,ACD - Case Updates/Code Connect Messages,79
5,Animal Protection - Vicious Dog Complaint,77
5,Parking Ticket Complaint,76
5,SBO - New Sidewalk/Curb Ramp/Route,75
5,Bridge Repair,75
5,Roadway Spillage,74
5,Drainage - Miscellaneous,72
5,311 CRIS - City Vehicle Report,72
5,Animal Protection - Coyote Complaints,72
5,Guardrail Repair,67
5,ATD - View Obstruction and Fencing at Intersection,65
5,Public Health - Environmental Services - County,63
5,SBO - Street and Bridge Miscellaneous,62
5,ZZ - Tree Issue ROW,61
5,WPD - Lost Item in Storm Drainage System,60
5,Austin Code - Construction Rest Break Complaint,53
5,Park Maintenance - Building A/C & Heating Issues,52
5,Code Compliance - Short Term Rental (STR) Appointment,52
5,Loose Animal (not dog),52
5,AW - Water Theft Report,49
5,ATD - Special Event,49
5,AFD - Wildfire Concern / Presentation,46
5,Park Maintenance - Building Electrical Issues,46
5,ARR - Household Hazardous Waste,45
5,SBO - Street Resurfacing,42
5,SBO - Alley & Unpaved Street Maintenance,42
5,PWD - Mowing Medians,41
5,Flood Report,38
5,ARR - On Call Brush,36
5,ATD - School Zone Sign Maintenance,35
5,Animal Protection - Dangerous Dog Complaint,35
5,DSD - Short Term Rental Complaint,34
5,APH - Community Connections Coronavirus,33
5,ARR - Pet Search,33
5,SBO - Utility Cut Repair,32
5,WPD - Ditch/Driveway Pipe Services,32
5,HPD - Neighborhood Home Programs,31
5,Corridor Program Office - Corridor Feedback,31
5,Flooding - Storms After Business Hours,30
5,Parking Permit- ROW,29
5,Short Term Rental Complaint SR,29
5,Residential Parking Permit Enforcement,28
5,Animal Roadside Sales,28
5,ATD - Traffic Signal - New,28
5,PW - School Issues - Crossing Guards,28
5,WPD - Flooding Past,27
5,Basic Needs - Appointment,26
5,Barricade Request,25
5,Animal Protection - Dog Restraint Issues,25
5,Animal Protection - Animal In Vehicle,24
5,Vendor Permit - ROW,23
5,SBO - Curb/Gutter Repair,23
5,ATD - Construction Concerns in Right of Way,23
5,PARD - Aquatic Maintenance,22
5,AE - Electric Vehicle Station Issues,21
5,WPD - Erosion,21
5,ATD - Traffic Signal - Modification,20
5,AFD - Wildfire Education,20
5,EV PIE Station Issues,20
5,ATD - Pay-by-Phone App,19
5,Construction Ordinance SR,19
5,SBO - Guardrail New/Repair,19
5,WPD - Watershed Grow Zone Issues,19
5,Austin Code - Construction Ordinance SR,18
5,Ordinance Universal Recycling,18
5,Park Maintenance - Cemeteries,18
5,PW - School Zone - New/Review/Changes,17
5,APH - Environmental Health Services - County,17
5,AFD - Fireworks Complaint,17
5,Zz_Traffic Engineering - General,16
5,Emergency Road Closure Report,16
5,WPD - Lady Bird Lake Debris Issues,16
5,AE - Key Accounts,15
5,CPIO - Community Voices,14
5,ACD - Billboard Complaint,14
5,PARD - Commercial Use of Parkland,13
5,Animal Protection - Animal Trapped in Storm Drain,13
5,Town Lake Debris Issues,12
5,Dangerous Animal - Except Dogs,11
5,Ordinance Single-Use Carryout Bags,11
5,ERM - Harmful Algae,9
5,Guardrail - New,9
5,APD - Non Emergency Hands Free Violation,9
5,CPIO - Community Engagement Project Feedback,8
5,Obstruction - Urban Forestry,8
5,APH - Health Equity Line,8
5,ZZ Park Maintenance - Pool Issues,8
5,Valet Permit - ROW,8
5,EV PIP Residential Rebate,7
5,ARR Dumpster,7
5,ZZ ARR - Storm Debris Collection,6
5,Fence/Wall Repair,6
5,Filming Permit - ROW,6
5,LeadSmart Program,5
5,PARD - Aquatic Inquiries/Issues,5
5,SBO - Roadway Spillage,5
5,PARD - Aquatic Program Inquiries,5
5,DSD - Case Updates/Code Connect Messages,5
5,ZZ Creek &amp; Pond Vegetation Control,5
5,ZZ Creek & Pond Vegetation Control,5
5,Corridor Program - Corridor Feedback,4
5,ZZZ ARR Brush and Bulk,4
5,Flooding - Storms During Business Hours,4
5,DSD - Billboard Complaint,4
5,ZZ Mowing Medians,4
5,ZZ Mowing City Parks,4
5,HSEM - Heat Advisory,3
5,ATD - Bicycle & Pedestrian Issues,3
5,Road Sanding Request,3
5,Animal Protection - Animal Roadside Sales,3
5,Traffic Engineering - Jurisdiction Issue,3
5,Newspaper Rack- ROW,3
5,SBO - Bridge Repair,3
5,Utility Coordination - ROW,2
5,HD - Neighborhood Home Programs,2
5,zCoyote Complaints,2
5,ZZ Corridor Program - Corridor Feedback,2
5,Zz_ATD - Concerns in Right of Way,2
5,ACD - Construction Rest Break Complaint,2
5,PW - Street & Bridge General,2
5,Fence Repair - MOPAC,1
5,ZZZ - Storm Drain Pipe Services,1
