month,complaint_description,total_requests
1,Bridge Repair,44
1,Aquatics Hotline Inquiry,43
1,Construction/Permitting- ROW,40
1,SBO - Utility Cut Repair,40
1,Parking Ticket Complaint,39
1,Roadway Spillage,37
1,Bat Complaint,37
1,Guardrail Repair,37
1,SBO - Alley & Unpaved Street Maintenance,36
1,Ditch/Driveway Pipe Services,36
1,SBO - Street Resurfacing,33
1,Mowing City Parks,31
1,Tree Issue ROW/Emergency (PARD),30
1,Park Maintenance - Building Electrical Issues,29
1,Water Theft Report,29
1,Neighborhood Home Programs,28
1,Drainage - Miscellaneous,27
1,ATD - Pay-by-Phone App,27
1,AW - Water Theft Report,26
1,Animal Roadside Sales,26
1,Public Health - Environmental Services - County,25
1,Mowing Medians,23
1,WPD - Lady Bird Lake Debris Issues,22
1,School Issues - Crossing Guards,22
1,Loose Animal (not dog),22
1,SBO - Curb/Gutter Repair,22
1,ATD - View Obstruction and Fencing at Intersection,22
1,AFD - Wildfire Concern / Presentation,22
1,Animal Protection - Loose Animal Not Dog,21
1,WPD - Ditch/Driveway Pipe Services,21
1,SBO - Guardrail New/Repair,21
1,Residential Parking Permit Enforcement,21
1,Park Maintenance - Building A/C & Heating Issues,21
1,Austin Code - Construction Rest Break Complaint,21
1,Corridor Program Office - Corridor Feedback,21
1,WPD - Flooding Past,19
1,Animal Protection - Dog Restraint Issues,19
1,DSD - Case Updates/Code Connect Messages,19
1,ARR - On Call Brush,19
1,AE - Electric Vehicle Station Issues,18
1,ACD - Case Updates/Code Connect Messages,18
1,Vendor Permit - ROW,17
1,ARR - Pet Search,17
1,HPD - Neighborhood Home Programs,15
1,Zz_ATD - Concerns in Right of Way,14
1,APH - Community Connections Coronavirus,13
1,PWD - Mowing Medians,13
1,CPIO - Community Voices,13
1,ATD - School Zone Sign Maintenance,13
1,Ordinance Universal Recycling,13
1,WPD - Erosion,12
1,WPD - Watershed Grow Zone Issues,12
1,HD - Neighborhood Home Programs,11
1,Austin Code - Construction Ordinance SR,11
1,Fence/Wall Repair,11
1,Park Maintenance - Cemeteries,11
1,AE - Key Accounts,11
1,Parking Permit- ROW,10
1,SBO - Roadway Spillage,9
1,ATD - Special Event,9
1,DSD - Billboard Complaint,9
1,PARD - Aquatic Inquiries/Issues,8
1,ZZ CRM - Configuration Test Waheed,8
1,Animal Protection - Animal In Vehicle,8
1,PARD - Commercial Use of Parkland,8
1,Animal Protection - Dangerous Dog Complaint,7
1,Basic Needs - Appointment,7
1,Ordinance Single-Use Carryout Bags,7
1,Animal Protection - Animal Trapped in Storm Drain,7
1,Emergency Road Closure Report,6
1,ZZ - Tree Issue ROW,6
1,Park Maintenance - Building A/C &amp; Heating Issues,6
1,Dangerous Animal - Except Dogs,6
1,Town Lake Debris Issues,6
1,PW - School Zone - New/Review/Changes,6
